level_0,index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link,competition_link_check,results_link_check,TotalParticipantsInt,Date,Year,Time,Status
2862,670,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,803,200m Backstroke,Women 13-99,00:00.00,21/02/2024 17:12:00,30,30,/LeagueTable/AthleticsDisciplineResults/47332?isModal=True,1,1,30,2024-02-21 00:00:00,2024,17:12:00,Passed
2863,671,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,804,200m Backstroke,Men 13-99,00:00.00,21/02/2024 17:29:00,30,29,/LeagueTable/AthleticsDisciplineResults/47328?isModal=True,1,1,29,2024-02-21 00:00:00,2024,17:29:00,Passed
2864,672,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,805,100m Butterfly,Women 13-99,00:00.00,21/02/2024 17:41:00,31,30,/LeagueTable/AthleticsDisciplineResults/47331?isModal=True,1,1,30,2024-02-21 00:00:00,2024,17:41:00,Passed
2865,673,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,806,100m Butterfly,Men 13-99,00:00.00,21/02/2024 17:48:30,30,30,/LeagueTable/AthleticsDisciplineResults/47327?isModal=True,1,1,30,2024-02-21 00:00:00,2024,17:48:30,Passed
2866,674,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,807,400m Freestyle,Women 13-99,00:00.00,21/02/2024 17:55:00,30,30,/LeagueTable/AthleticsDisciplineResults/47333?isModal=True,1,1,30,2024-02-21 00:00:00,2024,17:55:00,Passed
2867,675,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,808,400m Freestyle,Men 13-99,00:00.00,21/02/2024 18:27:00,30,30,/LeagueTable/AthleticsDisciplineResults/47329?isModal=True,1,1,30,2024-02-21 00:00:00,2024,18:27:00,Passed
2868,676,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,809,4X50m Freestyle Relay,Women 13-99,00:00.00,21/02/2024 18:45:00,107,80,/LeagueTable/AthleticsDisciplineResults/45252?isModal=True,1,1,80,2024-02-21 00:00:00,2024,18:45:00,Passed
2869,677,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,810,4X50m Freestyle Relay,Men 13-99,00:00.00,21/02/2024 19:00:00,128,96,/LeagueTable/AthleticsDisciplineResults/45249?isModal=True,1,1,96,2024-02-21 00:00:00,2024,19:00:00,Passed
2870,678,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,811,50m Backstroke,Women 13-99,00:00.00,22/02/2024 17:05:00,30,30,/LeagueTable/AthleticsDisciplineResults/47342?isModal=True,1,1,30,2024-02-22 00:00:00,2024,17:05:00,Passed
2871,679,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,812,50m Backstroke,Men 13-99,00:00.00,22/02/2024 17:11:00,30,30,/LeagueTable/AthleticsDisciplineResults/47338?isModal=True,1,1,30,2024-02-22 00:00:00,2024,17:11:00,Passed
2872,680,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,813,200m Butterfly,Women 13-99,00:00.00,22/02/2024 17:17:00,30,29,/LeagueTable/AthleticsDisciplineResults/47341?isModal=True,1,1,29,2024-02-22 00:00:00,2024,17:17:00,Passed
2873,681,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,814,200m Butterfly,Men 13-99,00:00.00,22/02/2024 17:34:00,30,30,/LeagueTable/AthleticsDisciplineResults/47337?isModal=True,1,1,30,2024-02-22 00:00:00,2024,17:34:00,Passed
2874,682,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,815,100m Freestyle,Women 13-99,00:00.00,22/02/2024 17:44:00,30,29,/LeagueTable/AthleticsDisciplineResults/47339?isModal=True,1,1,29,2024-02-22 00:00:00,2024,17:44:00,Passed
2875,683,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,816,100m Freestyle,Men 13-99,00:00.00,22/02/2024 18:01:00,30,30,/LeagueTable/AthleticsDisciplineResults/47335?isModal=True,1,1,30,2024-02-22 00:00:00,2024,18:01:00,Passed
2876,684,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,817,200m Breaststroke,Women 13-99,00:00.00,22/02/2024 18:08:30,31,30,/LeagueTable/AthleticsDisciplineResults/47340?isModal=True,1,1,30,2024-02-22 00:00:00,2024,18:08:30,Passed
2877,685,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,818,200m Breaststroke,Men 13-99,00:00.00,22/02/2024 18:25:00,30,30,/LeagueTable/AthleticsDisciplineResults/47336?isModal=True,1,1,30,2024-02-22 00:00:00,2024,18:25:00,Passed
2878,686,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,819,4X50m Medley Relay,Women 13-99,00:00.00,22/02/2024 18:38:00,115,84,/LeagueTable/AthleticsDisciplineResults/45253?isModal=True,1,1,84,2024-02-22 00:00:00,2024,18:38:00,Passed
2879,687,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,820,4X50m Medley Relay,Men 13-99,00:00.00,22/02/2024 18:51:00,137,104,/LeagueTable/AthleticsDisciplineResults/45250?isModal=True,1,1,104,2024-02-22 00:00:00,2024,18:51:00,Passed
2880,688,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,821,50m Freestyle,Women 13-99,00:00.00,23/02/2024 17:00:00,30,30,/LeagueTable/AthleticsDisciplineResults/47348?isModal=True,1,1,30,2024-02-23 00:00:00,2024,17:00:00,Passed
2881,689,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,822,50m Freestyle,Men 13-99,00:00.00,23/02/2024 17:06:00,30,29,/LeagueTable/AthleticsDisciplineResults/47345?isModal=True,1,1,29,2024-02-23 00:00:00,2024,17:06:00,Passed
2882,690,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,823,200m Individual Medley,Women 13-99,00:00.00,23/02/2024 17:12:00,30,30,/LeagueTable/AthleticsDisciplineResults/47347?isModal=True,1,1,30,2024-02-23 00:00:00,2024,17:12:00,Passed
2883,691,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,824,200m Individual Medley,Men 13-99,00:00.00,23/02/2024 17:27:00,30,30,/LeagueTable/AthleticsDisciplineResults/47344?isModal=True,1,1,30,2024-02-23 00:00:00,2024,17:27:00,Passed
2884,692,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,825,100m Backstroke,Women 13-99,00:00.00,23/02/2024 17:42:00,30,30,/LeagueTable/AthleticsDisciplineResults/47346?isModal=True,1,1,30,2024-02-23 00:00:00,2024,17:42:00,Passed
2885,693,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,826,100m Backstroke,Men 13-99,00:00.00,23/02/2024 17:49:30,30,30,/LeagueTable/AthleticsDisciplineResults/47343?isModal=True,1,1,30,2024-02-23 00:00:00,2024,17:49:30,Passed
2886,694,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,827,4X50m Freestyle Relay Mix,Mix 13-99,00:00.00,23/02/2024 18:30:00,206,164,/LeagueTable/AthleticsDisciplineResults/45254?isModal=True,1,1,164,2024-02-23 00:00:00,2024,18:30:00,Passed
2887,695,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,829,50m Butterfly,Women 13-99,00:00.00,24/02/2024 17:00:00,30,30,/LeagueTable/AthleticsDisciplineResults/47356?isModal=True,1,1,30,2024-02-24 00:00:00,2024,17:00:00,Passed
2888,696,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,830,50m Butterfly,Men 13-99,00:00.00,24/02/2024 17:06:00,31,29,/LeagueTable/AthleticsDisciplineResults/47352?isModal=True,1,1,29,2024-02-24 00:00:00,2024,17:06:00,Passed
2889,697,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,831,400m Individual Medley,Women 13-99,00:00.00,24/02/2024 17:12:00,12,12,/LeagueTable/AthleticsDisciplineResults/47355?isModal=True,1,1,12,2024-02-24 00:00:00,2024,17:12:00,Passed
2890,698,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,832,400m Individual Medley,Men 13-99,00:00.00,24/02/2024 17:25:00,20,20,/LeagueTable/AthleticsDisciplineResults/47351?isModal=True,1,1,20,2024-02-24 00:00:00,2024,17:25:00,Passed
2891,699,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,833,200m Freestyle,Women 13-99,00:00.00,24/02/2024 17:45:00,30,30,/LeagueTable/AthleticsDisciplineResults/47354?isModal=True,1,1,30,2024-02-24 00:00:00,2024,17:45:00,Passed
2892,700,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,834,200m Freestyle,Men 13-99,00:00.00,24/02/2024 17:57:00,30,30,/LeagueTable/AthleticsDisciplineResults/47350?isModal=True,1,1,30,2024-02-24 00:00:00,2024,17:57:00,Passed
2893,701,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,835,100m Breaststroke,Women 13-99,00:00.00,24/02/2024 18:13:00,30,29,/LeagueTable/AthleticsDisciplineResults/47353?isModal=True,1,1,29,2024-02-24 00:00:00,2024,18:13:00,Passed
2894,702,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,836,100m Breaststroke,Men 13-99,00:00.00,24/02/2024 18:27:00,30,30,/LeagueTable/AthleticsDisciplineResults/47349?isModal=True,1,1,30,2024-02-24 00:00:00,2024,18:27:00,Passed
2895,703,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,837,4X100m Medley Relay,Women 13-99,00:00.00,24/02/2024 18:37:00,75,60,/LeagueTable/AthleticsDisciplineResults/45251?isModal=True,1,1,60,2024-02-24 00:00:00,2024,18:37:00,Passed
2896,704,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,838,4X100m Medley Relay,Men 13-99,00:00.00,24/02/2024 18:48:00,102,76,/LeagueTable/AthleticsDisciplineResults/45248?isModal=True,1,1,76,2024-02-24 00:00:00,2024,18:48:00,Passed
2897,705,אליפות ישראל arena ותחרות קריטריונים לנוער ובוגרים חורף 2024 ,comp.asp?compID=469,46,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10091,902,100m Butterfly,Women 10-99,00:00.00,24/02/2024 12:41:30,2,2,/LeagueTable/AthleticsDisciplineResults/47363?isModal=True,1,1,2,2024-02-24 00:00:00,2024,12:41:30,Passed
2898,706,ליגה כפר קרע,comp.asp?compID=1504,47,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10232,1,100m Freestyle,Women 9-99,00:00.00,01/03/2024 14:00:00,9,9,/LeagueTable/AthleticsDisciplineResults/47017?isModal=True,1,1,9,2024-03-01 00:00:00,2024,14:00:00,Passed
2899,707,ליגה כפר קרע,comp.asp?compID=1504,47,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10232,2,100m Freestyle,Men 9-99,00:00.00,01/03/2024 14:06:00,41,41,/LeagueTable/AthleticsDisciplineResults/47013?isModal=True,1,1,41,2024-03-01 00:00:00,2024,14:06:00,Passed
2900,708,ליגה כפר קרע,comp.asp?compID=1504,47,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10232,3,50m Backstroke,Women 9-99,00:00.00,01/03/2024 14:27:00,14,14,/LeagueTable/AthleticsDisciplineResults/47018?isModal=True,1,1,14,2024-03-01 00:00:00,2024,14:27:00,Passed
2901,709,ליגה כפר קרע,comp.asp?compID=1504,47,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10232,4,50m Backstroke,Men 9-99,00:00.00,01/03/2024 14:33:00,17,17,/LeagueTable/AthleticsDisciplineResults/47014?isModal=True,1,1,17,2024-03-01 00:00:00,2024,14:33:00,Passed
2902,710,ליגה כפר קרע,comp.asp?compID=1504,47,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10232,5,50m Breaststroke,Women 9-99,00:00.00,01/03/2024 14:39:00,29,27,/LeagueTable/AthleticsDisciplineResults/47020?isModal=True,1,1,27,2024-03-01 00:00:00,2024,14:39:00,Passed
2903,711,ליגה כפר קרע,comp.asp?compID=1504,47,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10232,6,50m Breaststroke,Men 9-99,00:00.00,01/03/2024 14:49:00,47,45,/LeagueTable/AthleticsDisciplineResults/47016?isModal=True,1,1,45,2024-03-01 00:00:00,2024,14:49:00,Passed
2904,712,ליגה כפר קרע,comp.asp?compID=1504,47,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10232,7,50m Freestyle,Women 9-99,00:00.00,01/03/2024 15:05:00,56,49,/LeagueTable/AthleticsDisciplineResults/47019?isModal=True,1,1,49,2024-03-01 00:00:00,2024,15:05:00,Passed
2905,713,ליגה כפר קרע,comp.asp?compID=1504,47,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10232,8,50m Freestyle,Men 9-99,00:00.00,01/03/2024 15:25:00,92,82,/LeagueTable/AthleticsDisciplineResults/47015?isModal=True,1,1,82,2024-03-01 00:00:00,2024,15:25:00,Passed
2906,714,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,1,200m Individual Medley,Girls 12,03:20.00,06/03/2024 09:30:00,18,16,/LeagueTable/AthleticsDisciplineResults/47628?isModal=True,1,1,16,2024-03-06 00:00:00,2024,09:30:00,Passed
2907,715,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,2,200m Individual Medley,Boys 12,03:15.00,06/03/2024 09:38:00,30,30,/LeagueTable/AthleticsDisciplineResults/47652?isModal=True,1,1,30,2024-03-06 00:00:00,2024,09:38:00,Passed
2908,716,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,3,200m Individual Medley,Girls 13,30:15.00,06/03/2024 09:50:00,30,30,/LeagueTable/AthleticsDisciplineResults/47640?isModal=True,1,1,30,2024-03-06 00:00:00,2024,09:50:00,Passed
2909,717,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,4,200m Individual Medley,Boys 13,03:05.00,06/03/2024 10:02:00,30,30,/LeagueTable/AthleticsDisciplineResults/47664?isModal=True,1,1,30,2024-03-06 00:00:00,2024,10:02:00,Passed
2910,718,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,6,200m Individual Medley,Boys 14,02:55.00,06/03/2024 10:12:30,30,30,/LeagueTable/AthleticsDisciplineResults/47676?isModal=True,1,1,30,2024-03-06 00:00:00,2024,10:12:30,Passed
2911,719,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,7,400m Freestyle,Girls 12,06:00.00,06/03/2024 10:23:00,23,22,/LeagueTable/AthleticsDisciplineResults/47630?isModal=True,1,1,22,2024-03-06 00:00:00,2024,10:23:00,Passed
2912,720,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,8,400m Freestyle,Boys 12,05:50.00,06/03/2024 10:44:00,25,25,/LeagueTable/AthleticsDisciplineResults/47654?isModal=True,1,1,25,2024-03-06 00:00:00,2024,10:44:00,Passed
2913,721,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,9,400m Freestyle,Girls 13,05:45.00,06/03/2024 11:03:30,25,25,/LeagueTable/AthleticsDisciplineResults/47642?isModal=True,1,1,25,2024-03-06 00:00:00,2024,11:03:30,Passed
2914,722,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,10,400m Freestyle,Boys 13,05:35.00,06/03/2024 11:23:00,30,29,/LeagueTable/AthleticsDisciplineResults/47666?isModal=True,1,1,29,2024-03-06 00:00:00,2024,11:23:00,Passed
2915,723,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,12,400m Freestyle,Boys 14,05:15.00,06/03/2024 11:42:30,30,30,/LeagueTable/AthleticsDisciplineResults/47678?isModal=True,1,1,30,2024-03-06 00:00:00,2024,11:42:30,Passed
2916,724,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,13,4X50m Freestyle Relay,Girls 12-13,00:00.00,06/03/2024 12:00:30,101,80,/LeagueTable/AthleticsDisciplineResults/47691?isModal=True,1,1,80,2024-03-06 00:00:00,2024,12:00:30,Passed
2917,725,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,14,4X50m Freestyle Relay,Boys 12,00:00.00,06/03/2024 12:10:30,96,80,/LeagueTable/AthleticsDisciplineResults/47693?isModal=True,1,1,80,2024-03-06 00:00:00,2024,12:10:30,Passed
2918,726,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,16,4X50m Freestyle Relay,,00:00.00,06/03/2024 12:20:30,98,76,/LeagueTable/AthleticsDisciplineResults/47695?isModal=True,1,1,76,2024-03-06 00:00:00,2024,12:20:30,Passed
2919,727,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,17,100m Freestyle,Girls 12,01:25.00,06/03/2024 17:00:00,30,30,/LeagueTable/AthleticsDisciplineResults/47621?isModal=True,1,1,30,2024-03-06 00:00:00,2024,17:00:00,Passed
2920,728,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,18,100m Freestyle,Boys 12,01:20.00,06/03/2024 17:06:00,30,30,/LeagueTable/AthleticsDisciplineResults/47645?isModal=True,1,1,30,2024-03-06 00:00:00,2024,17:06:00,Passed
2921,729,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,19,100m Freestyle,Girls 13,01:22.00,06/03/2024 17:12:00,30,30,/LeagueTable/AthleticsDisciplineResults/47633?isModal=True,1,1,30,2024-03-06 00:00:00,2024,17:12:00,Passed
2922,730,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,20,100m Freestyle,Boys 13,01:17.00,06/03/2024 17:18:00,30,30,/LeagueTable/AthleticsDisciplineResults/47657?isModal=True,1,1,30,2024-03-06 00:00:00,2024,17:18:00,Passed
2923,731,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,22,100m Freestyle,Boys 14,01:14.00,06/03/2024 17:24:00,30,30,/LeagueTable/AthleticsDisciplineResults/47669?isModal=True,1,1,30,2024-03-06 00:00:00,2024,17:24:00,Passed
2924,732,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,23,200m Butterfly,Girls 12,03:40.00,06/03/2024 17:30:00,9,9,/LeagueTable/AthleticsDisciplineResults/47629?isModal=True,1,1,9,2024-03-06 00:00:00,2024,17:30:00,Passed
2925,733,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,24,200m Butterfly,Boys 12,03:45.00,06/03/2024 17:34:00,31,30,/LeagueTable/AthleticsDisciplineResults/47653?isModal=True,1,1,30,2024-03-06 00:00:00,2024,17:34:00,Passed
2926,734,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,25,200m Butterfly,Girls 13,03:20.00,06/03/2024 17:48:00,15,15,/LeagueTable/AthleticsDisciplineResults/47641?isModal=True,1,1,15,2024-03-06 00:00:00,2024,17:48:00,Passed
2927,735,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,26,200m Butterfly,Boys 13,03:30.00,06/03/2024 17:56:00,23,23,/LeagueTable/AthleticsDisciplineResults/47665?isModal=True,1,1,23,2024-03-06 00:00:00,2024,17:56:00,Passed
2928,736,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,28,200m Butterfly,Boys 14,03:10.00,06/03/2024 18:07:00,25,25,/LeagueTable/AthleticsDisciplineResults/47677?isModal=True,1,1,25,2024-03-06 00:00:00,2024,18:07:00,Passed
2929,737,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,29,100m Breaststroke,Girls 12,01:50.00,06/03/2024 18:17:00,30,30,/LeagueTable/AthleticsDisciplineResults/47622?isModal=True,1,1,30,2024-03-06 00:00:00,2024,18:17:00,Passed
2930,738,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,30,100m Breaststroke,Boys 12,01:45.00,06/03/2024 18:24:00,30,30,/LeagueTable/AthleticsDisciplineResults/47646?isModal=True,1,1,30,2024-03-06 00:00:00,2024,18:24:00,Passed
2931,739,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,31,100m Breaststroke,Girls 13,01:45.00,06/03/2024 18:32:00,30,30,/LeagueTable/AthleticsDisciplineResults/47634?isModal=True,1,1,30,2024-03-06 00:00:00,2024,18:32:00,Passed
2932,740,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,32,100m Breaststroke,Boys 13,01:40.00,06/03/2024 18:39:00,30,30,/LeagueTable/AthleticsDisciplineResults/47658?isModal=True,1,1,30,2024-03-06 00:00:00,2024,18:39:00,Passed
2933,741,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,34,100m Breaststroke,Boys 14,01:35.00,06/03/2024 18:46:30,30,30,/LeagueTable/AthleticsDisciplineResults/47670?isModal=True,1,1,30,2024-03-06 00:00:00,2024,18:46:30,Passed
2934,742,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,35,800m Freestyle,Girls 13,11:40.00,06/03/2024 18:54:00,17,17,/LeagueTable/AthleticsDisciplineResults/47680?isModal=True,1,1,17,2024-03-06 00:00:00,2024,18:54:00,Passed
2935,743,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,36,800m Freestyle,Boys 14,10:45.00,06/03/2024 19:13:00,20,20,/LeagueTable/AthleticsDisciplineResults/47681?isModal=True,1,1,20,2024-03-06 00:00:00,2024,19:13:00,Passed
2936,744,אליפות ישראל arena לצעירים בבריכות קצרות,comp.asp?compID=471,48,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10309,37,4X50m Medley Relay Mix,Mix 12,00:00.00,06/03/2024 19:38:00,106,80,/LeagueTable/AthleticsDisciplineResults/47688?isModal=True,1,1,80,2024-03-06 00:00:00,2024,19:38:00,Passed
